time,Azimuth,Pitch,Roll
0.001863,71.7,-48.4,4.0
0.008798,71.7,-48.3,4.0
0.009901,71.8,-48.3,4.0
0.015077,71.8,-48.2,3.9
0.020194,71.8,-48.1,3.9
0.024962,71.8,-48.0,3.9
0.029986,71.9,-47.9,3.8
0.037080,71.8,-47.5,3.6
0.040766,71.8,-46.9,3.3
0.045649,71.8,-46.4,3.1
0.050352,71.8,-46.0,3.0
0.055322,71.8,-45.8,3.0
0.062383,71.8,-45.6,3.0
0.065228,71.9,-45.4,3.0
0.070822,71.9,-45.3,3.1
0.075384,72.0,-45.2,3.1
0.080387,72.0,-45.1,3.2
0.086984,72.0,-45.0,3.3
0.090581,72.1,-44.8,3.4
0.095434,72.1,-44.6,3.4
0.100831,72.1,-44.4,3.5
0.105726,72.2,-44.1,3.6
0.111923,72.2,-43.9,3.7
0.115450,72.2,-43.7,3.8
0.120652,72.2,-43.4,3.9
0.125513,72.2,-43.2,4.0
0.131063,72.2,-42.9,4.1
0.136759,72.1,-42.7,4.2
0.140992,72.1,-42.5,4.3
0.145705,72.0,-42.3,4.4
0.150773,72.0,-42.1,4.5
0.155811,71.9,-41.8,4.6
0.161691,71.8,-41.5,4.5
0.165887,71.8,-41.3,4.6
0.171500,71.7,-41.1,4.8
0.176003,71.6,-40.9,5.0
0.180821,71.6,-40.7,5.1
0.187345,71.5,-40.4,5.3
0.191031,71.4,-40.2,5.5
0.196006,71.3,-40.0,5.6
0.200948,71.3,-39.8,5.8
0.206102,71.2,-39.6,5.9
0.211820,71.1,-39.4,6.0
0.216009,71.1,-39.2,6.1
0.221258,71.0,-39.1,6.2
0.226074,70.8,-38.9,6.3
0.231087,70.7,-38.7,6.3
0.236575,70.6,-38.6,6.3
0.241423,70.5,-38.5,6.3
0.246265,70.4,-38.4,6.3
0.253459,70.2,-38.4,6.3
0.256385,70.1,-38.3,6.3
0.261663,70.0,-38.3,6.3
0.266688,69.8,-38.4,6.3
0.272347,69.7,-38.5,6.3
0.278667,69.6,-38.9,6.3
0.281868,69.5,-39.4,6.3
0.287395,69.3,-39.7,6.3
0.291799,69.2,-40.0,6.1
0.298358,69.0,-40.1,6.1
0.304748,68.7,-40.1,6.1
0.306765,68.5,-40.5,6.1
0.312165,68.2,-40.4,6.2
0.316632,67.9,-40.3,6.1
0.321912,67.6,-40.3,6.1
0.329555,67.3,-40.2,6.1
0.331948,67.0,-40.2,6.1
0.336855,66.7,-40.3,6.1
0.342303,66.5,-40.3,6.1
0.347272,66.3,-40.4,6.0
0.354496,66.1,-40.6,6.0
0.357108,66.0,-40.7,6.0
0.362522,65.9,-40.9,6.0
0.366858,65.8,-41.2,6.0
0.373271,65.8,-41.7,6.3
0.379524,65.8,-42.0,6.3
0.382371,65.7,-42.3,6.3
0.387576,65.7,-42.5,6.3
0.391912,65.6,-42.6,6.3
0.397926,65.5,-42.7,6.2
0.403789,65.5,-42.8,6.2
0.408170,65.4,-43.0,6.2
0.413621,65.4,-43.3,6.3
0.425428,65.4,-43.6,6.5
0.425505,65.4,-43.6,6.4
0.429157,65.4,-43.6,6.3
0.432499,65.4,-43.7,6.2
0.437609,65.4,-43.7,6.1
0.442696,65.4,-43.8,6.0
0.447387,65.3,-43.9,5.9
0.454879,65.3,-44.0,5.7
0.457551,65.3,-44.1,5.6
0.463014,65.3,-44.3,5.4
0.467354,65.3,-44.5,5.3
0.472321,65.3,-44.7,5.1
0.477738,65.3,-44.8,5.0
0.482708,65.3,-45.1,4.8
0.487602,65.3,-45.3,4.7
0.492873,65.3,-45.4,4.6
0.498385,65.3,-45.6,4.4
0.503052,65.3,-45.8,4.3
0.507644,65.4,-46.0,4.2
0.512500,65.4,-46.1,4.1
0.517644,65.5,-46.2,4.0
0.523310,65.5,-46.3,3.9
0.528193,65.6,-46.4,3.8
0.534087,65.6,-46.5,3.6
0.537749,65.7,-46.6,3.5
0.545201,65.7,-46.6,3.4
0.547792,65.7,-46.7,3.3
0.553405,65.8,-46.7,3.2
0.557880,65.8,-46.8,3.1
0.563225,65.8,-46.8,3.0
0.567783,65.8,-46.9,2.9
0.573079,65.8,-46.9,2.8
0.578022,65.8,-46.9,2.7
0.583397,65.8,-47.0,2.6
0.588273,65.8,-47.0,2.6
0.594071,65.8,-47.1,2.5
0.597941,65.8,-47.1,2.5
0.603375,65.9,-47.2,2.5
0.608213,65.9,-47.2,2.4
0.613520,65.9,-47.3,2.4
0.619621,66.0,-47.4,2.4
0.623311,66.0,-47.5,2.4
0.628203,66.1,-47.6,2.3
0.633219,66.1,-47.7,2.3
0.638405,66.1,-47.8,2.3
0.644613,66.2,-47.8,2.2
0.648463,66.2,-47.8,2.2
0.653712,66.3,-47.9,2.2
0.658310,66.3,-47.9,2.2
0.663676,66.4,-48.0,2.2
0.669854,66.4,-48.0,2.1
0.673996,66.5,-48.1,2.1
0.679757,66.5,-48.1,2.1
0.683426,66.6,-48.2,2.1
0.689020,66.6,-48.3,2.0
0.694974,66.6,-48.3,2.0
0.698784,66.6,-48.4,2.0
0.703722,66.7,-48.4,1.9
0.708631,66.7,-48.5,1.9
0.713617,66.7,-48.5,1.9
0.719093,66.7,-48.6,1.9
0.723999,66.8,-48.6,1.9
0.729692,66.8,-48.6,1.8
0.734049,66.8,-48.7,1.8
0.738865,66.8,-48.7,1.8
0.744009,66.8,-48.7,1.8
0.749026,66.8,-48.7,1.8
0.753988,66.8,-48.8,1.8
0.758824,66.8,-48.8,1.8
0.764146,66.8,-48.8,1.8
0.769118,66.8,-48.8,1.8
0.774134,66.8,-48.8,1.9
0.779090,66.8,-48.8,1.9
0.784293,66.8,-48.8,1.9
0.789331,66.8,-48.8,1.9
0.794964,66.8,-48.8,1.9
0.799282,66.9,-48.8,1.9
0.805970,66.9,-48.8,1.9
0.809370,66.9,-48.8,1.9
0.813977,66.9,-48.9,1.9
0.819557,67.0,-48.9,1.9
0.824429,67.0,-48.9,1.9
0.829216,67.0,-48.9,1.9
0.834231,67.1,-48.9,2.0
0.839227,67.1,-48.8,2.0
0.844389,67.2,-48.8,2.0
